[2025-09-15 17:33:27] [INFO    ] discord.client: logging in using static token
[2025-09-15 17:33:27] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-09-15 17:33:27] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-09-15 17:33:27] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1055708942984032326', 'username': 'Zani', 'avatar': 'fdd9626bae2ed8c8946cbe39dbc60aa7', 'discriminator': '2446', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-09-15 17:33:27] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-09-15 17:33:27] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-09-15 17:33:27] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1055708942984032326', 'name': 'Zani', 'icon': 'ffd59d9e2605238ec9a3557985b1bdcb', 'description': '!enlist to go to main center', 'type': None, 'bot': {'id': '1055708942984032326', 'username': 'Zani', 'avatar': 'fdd9626bae2ed8c8946cbe39dbc60aa7', 'discriminator': '2446', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'integration_types_config': {'0': {}}, 'verify_key': 'e1d596fbd9bb22b36be6e1461129b1e007fd479e16736f00d657cd439e429f4f', 'flags': 557056, 'tags': ['Bot'], 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '846441699226943538', 'username': 'tututututu22222', 'avatar': 'a35bc895e865fd264b081ae6e50f569f', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': 'a_74cf039c155aaa05247cfa07d3e741e5', 'accent_color': 0, 'global_name': 'itu', 'avatar_decoration_data': {'asset': 'a_7b3552536d367435c8fe7bfce8060b89', 'sku_id': '1366494385562193961', 'expires_at': None}, 'collectibles': {'nameplate': {'sku_id': '1400163655462555658', 'asset': 'nameplates/rock/mini_goku/', 'label': 'COLLECTIBLES_ROCK_MINI_GOKU_NP_A11Y', 'palette': 'berry'}}, 'display_name_styles': None, 'banner_color': '#000000', 'clan': {'identity_guild_id': '1273568436076941333', 'identity_enabled': True, 'tag': 'DORO', 'badge': '5bd5ab866cae0aafef5aa66e1ea8d31d'}, 'primary_guild': {'identity_guild_id': '1273568436076941333', 'identity_enabled': True, 'tag': 'DORO', 'badge': '5bd5ab866cae0aafef5aa66e1ea8d31d'}}, 'approximate_guild_count': 2, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 198, 'monetization_state': 1, 'verification_eligibility_flags': 90908, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-09-15 17:33:27] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-09-15 17:33:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-wdgl",{"micros":0.0}]']}}
[2025-09-15 17:33:27] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-09-15 17:33:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
